Event, optional label	Event label	Location	Station info	Latitude	Longitude	Elevation	Date/Time start	Date/Time end	Comment	URI of event
Abashiri	ABS	Japan	https://download.pangaea.de/reference/115425/attachments/Abashiri.pdf	44.0178	144.2797	38.0	2021-03-01		BSRN station 86; Surface type: asphalt; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.947000; Station scientist: SASAKI Shun (rrc-jma@met.kishou.go.jp)	
Alert	ALE	Lincoln Sea		82.4900	-62.4200	127.0	2004-08-16		BSRN station no: 18; Surface type: tundra; Topography type: hilly, rural; Station scientist: Christopher Cox (christopher.j.cox@noaa.gov)	
Alice Springs	ASP	Macdonnell Ranges, Northern Territory, Australia		-23.7980	133.8880	547.0	1995-01-01		BSRN station no: 1; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669509; Station scientist: Matt Tully (m.tully@bom.gov.au)	
Barrow	BAR	Alaska, USA		71.3230	-156.6070	8.0	1992-01-01		BSRN station no: 22; Surface type: tundra; Topography type: flat, rural; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov)	http://www.esrl.noaa.gov/gmd/obop/brw/
Bermuda	BER	Bermuda		32.3008	-64.7660	8.0	1992-01-01		BSRN station no: 24; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669510; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov). Please note: coordinates were corrected (prior: 32.267,-64.667). Station was moved in 1998, pre 1998 coordinates are: 32.3538, -64.6563.	http://www.esrl.noaa.gov/gmd/dv/site/BPH.html
Billings	BIL	Oklahoma, United States of America		36.6050	-97.5160	317.0	1993-06-01		BSRN station no: 28; Surface type: grass; Topography type: flat, rural; Station scientist: Laura Riihimaki (laura.riihimaki@noaa.gov)	
Bondville	BON	Illinois, United States of America		40.0667	-88.3667	213.0	1995-01-01		BSRN station no: 32; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	http://www.srrb.noaa.gov/surfrad/bondvill.html
Boulder	BOS	Colorado, United States of America		40.1250	-105.2370	1689.0	1995-07-01		BSRN station no: 34; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)	http://www.srrb.noaa.gov/surfrad/tablemt.html
Boulder	BOU	Colorado, United States of America		40.0500	-105.0070	1577.0	1992-01-01	2016-06-30	BSRN station no: 23; Surface type: grass; Topography type: flat, rural; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov) ** Station closed in July 2016 **	
Brasilia	BRB	Brasilia City, Distrito Federal, Brazil		-15.6010	-47.7130	1023.0	2006-02-01		BSRN station no: 71; Surface type: concrete, since 2015: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695899; Station scientist: Andre R. Goncalves (andre.goncalves@inpe.br)	
Budapest-Lorinc	BUD	Hungary, Budapest		47.4291	19.1822	139.1			BSRN Station No. 14; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.931862; Station scientist: Dénes Fekete (fekete.d@met.hu)	
