tskey,ebcode,ebkey,sgkey,sgxlon,sgylat,sgelevation,sgname,affiliation,until,sgcomment
1,GLOBAL,1,2693,144.28333,44.01667,38,Abashiri,Japan,,"Japan Meteorological Agency (1991), Global radiation data, Unpublished data."
2,GLOBAL,1,2601,1.83333,50.13333,74,Abbeville,France,,
3,GLOBAL,1,1279,357.91667,57.16667,35,Aberdeen,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
4,GLOBAL,1,1293,355.43333,52.13333,134,Aberporth,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
5,DIFFUS,3,1293,355.43333,52.13333,134,Aberporth,United Kingdom of Great Britain and Northern Ireland - previously United Kingdom of Great Britain and Northern Ireland,2006,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg; Meteorological Office United Kingdom (1980), Solar radiation data for the United Kingdom 1951-75,Meteorological Office, Bracknell."
6,GLOBAL,1,3820,42.65000,18.23333,2090,Abha,Saudi Arabia - previously Neutral Zone,1993,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
7,GLOBAL,1,2401,54.41667,24.46667,16,Abu Dhabi Arpt,United Arab Emirates,,
8,GLOBAL,1,46,34.13333,12.73333,445,Abu Naama,Sudan - previously Sudan,2011,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geograph. Inst., ETH Zurich; Weather Bureau South Africa (1955), Quarterly Rad. Bulletin, Dep. of Transport."
9,GLOBAL,1,2725,131.40000,31.58333,3,Aburatsu,Japan,,"Japan Meteorological Agency (1991), Global radiation data, Unpublished data."
10,GLOBAL,1,3825,290.76667,9.55000,226,Acarigua,Venezuela,,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
11,GLOBAL,1,305,359.83333,5.60000,68,Accra,Ghana,,"World Radiation Data Center, Voeikov Main Geophysical Obs., St. Petersburg; Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geograph. Inst., ETH Zurich; Weather Bureau South Africa (1955), Quarterly Rad. Bulletin, Dep. of Transport."
12,GLOBAL,1,50,38.75000,9.03333,2408,Addis Abeba,Ethiopia,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
13,GLOBAL,1,1110,138.51667,-34.93333,6,Adelaide Airp.,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
14,DIFFUS,3,1110,138.51667,-34.93333,6,Adelaide Airp.,Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
15,GLOBAL,1,2861,138.51667,-34.96667,49,Adelaide Airport (new),Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
16,DIRECT,2,2861,138.51667,-34.96667,49,Adelaide Airport (new),Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
17,DIFFUS,3,2861,138.51667,-34.96667,49,Adelaide Airport (new),Australia,,"World Radiation Data Center (WRDC), Voeikov Main Geophysical Observatory, St. Petersburg."
19,GLOBAL,1,4492,138.58333,-34.93333,29,Adelaide City( Wst. Terrace ),Australia,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
20,DIFFUS,3,4492,138.58333,-34.93333,29,Adelaide City( Wst. Terrace ),Australia,,"WRDC online archive accessed Sept. 2020. World Radiation Data Centre, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg"
21,GLOBAL,1,3823,45.03333,12.83333,3,Aden/Khormaskar,Yemen - previously Yemen,1990,"World Radiation Data Center, Voeikov Main Geophysical Observatory, St. Petersburg"
22,GLOBAL,1,51,7.98333,16.96667,505,Agadez,Niger,,"World Radiation Data Center, Solar radiation and radiation balance data, Voeikov Main Geophysical Observatory, St. Petersburg. Haefliger, M. (1989), Globalstrahlungsdaten in Afrika, Geographisches Institut der ETH Zurich."
